date,temp_max_c,temp_min_c,precipitation_mm,windspeed_max_kmh,temp_max_c_outlier,temp_min_c_outlier,precipitation_mm_outlier,windspeed_max_kmh_outlier
2026-08-01,25.2,12.8,0.1,14.2,False,False,False,False
2026-08-02,22.8,13.2,0.7,10.3,False,False,False,False
2026-08-03,21.5,12.5,0.1,10.3,False,False,False,False
2026-08-04,20.6,12.7,0.8,12.1,True,False,False,False
2026-08-05,25.6,11.6,0.0,13.5,False,False,False,False
2026-08-06,25.1,12.6,0.0,16.1,False,False,False,False
2026-08-07,23.8,13.3,0.0,12.6,False,False,False,False
2026-08-08,24.3,13.1,0.1,12.0,False,False,False,False
2026-08-09,23.6,14.1,0.6,12.5,False,False,False,False
2026-08-10,27.9,12.5,0.4,14.6,True,False,False,False
2026-08-11,26.4,11.5,0.0,12.8,False,False,False,False
2026-08-12,27.0,11.7,0.0,11.5,False,False,False,False
2026-08-13,26.3,12.0,0.0,11.8,False,False,False,False
2026-08-14,26.7,11.6,0.0,14.6,False,False,False,False
2026-08-15,24.0,12.7,0.0,16.6,False,False,False,False
2026-08-16,20.9,15.0,0.4,10.0,False,False,False,False
2026-08-17,23.6,14.6,0.4,12.3,False,False,False,False
2026-08-18,22.2,15.1,2.5,11.2,False,False,True,False
2026-08-19,23.3,15.5,3.9,14.4,False,False,True,False
2026-08-20,25.1,13.1,0.2,17.6,False,False,False,False
2026-08-21,25.0,11.1,0.0,9.5,False,False,False,False
2026-08-22,27.5,12.0,0.0,12.0,False,False,False,False
2026-08-23,27.3,16.1,2.8,11.4,False,False,True,False
2026-08-24,27.1,16.7,0.9,15.0,False,False,False,False
